folder,album_artist,album,current_genre,tracks,new_genre,
Y:\(We Are) Performance\(We Are) Performance - (We Are) Performance (2007),(We Are) Performance,(We Are) Performance,Pop,12,,
Y:\And You Will Know Us by the Trail of Dead\And You Will Know Us by the Trail of Dead - Source Tags & Codes(2002),...And You Will Know Us By The Trail Of Dead,Source Tags & Codes,Indie Rock,13,,
Y:\13th Floor Elevators\13th Floor Elevators - 7th Heaven Music of the Spheres the Complete Singles Collection (Limited Edition) (2010),13th Floor Elevators,7th Heaven: Music of the Spheres the Complete Singles Collection (Limited Edition),,18,Rock,
Y:\13th Floor Elevators\13th Floor Elevators - Easter Everywhere (1967),13th Floor Elevators,Easter Everywhere,,20,Rock,
Y:\13th Floor Elevators\13th Floor Elevators - The Psychedelic Sounds (1966),13th Floor Elevators,The Psychedelic Sounds,,11,Rock,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\2Pac - 2Pacalypse Now(1991),2Pac,2Pacalypse Now,,13,Hip Hop,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\2Pac - All Eyez On Me (2012 Reissue) (1996) (1),2Pac,All Eyez On Me (2012 Reissue) [CD 1],,27,Hip Hop,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\2Pac - Me Against The World(1995),2Pac,Me Against The World,,15,Hip Hop,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\2Pac - R U Still Down(1997),2Pac,R U Still Down [CD 2],,13,Hip Hop,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\2Pac - Until The End Of Time(2001),2Pac,Until The End Of Time [CD 1],Blues,29,,
Y:\5th Dimension\5th Dimension - The Age Of Aquarius (1969),5th Dimension,The Age Of Aquarius,,13,Rock,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\808 State - 90 (1989),808 State,90,,8,Rock,
Y:\808 State\808 State - Don Solaris (1996),808 State,Don Solaris,,12,Electronic,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\808 State - Ex_el (US)(1991),808 State,Ex:el (US),,13,Electronic,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\808 State - Newbuild (1999),808 State,Newbuild,,7,Electronic,
Y:\A Place To Bury Strangers\A Place To Bury Strangers - Pinned (Brainwashing Machine Edition) (2018),A Place To Bury Strangers,Pinned (Brainwashing Machine Edition),Alternative,20,,
Y:\A Tribe Called Red\A Tribe Called Red - Nation II Nation (2013),A Tribe Called Red,Nation II Nation,,10,Hip Hop,
Y:\A Tribe Called Red\A Tribe Called Red - We Are The Halluci Nation (2016),A Tribe Called Red,We Are the Halluci Nation,Electronic,15,,
Y:\Abba\Abba - ABBA Gold (2010),Abba,ABBA Gold,,19,Rock,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\Acid Lab - Odyssey LP(2014),Acid Lab,Odyssey LP,,13,Electronic,
Y:\Acid Mothers Temple & The Melting Paraiso UFO\Acid Mothers Temple & The Melting Paraiso UFO - Pink Lady Lemonade - You're from Inner Space (2011),Acid Mothers Temple & The Melting Paraiso UFO,Pink Lady Lemonade - You're from Inner Space,,4,Rock,
Y:\Acid Mothers Temple & The Melting Paraiso UFO\Acid Mothers Temple & The Melting Paraiso UFO - Son Of A Bitches Brew (2012),Acid Mothers Temple & The Melting Paraiso UFO,Son Of A Bitches Brew,Blues,7,,
Y:\Acid Mothers Temple\Acid Mothers Temple - the Melting Paraiso U.F.O. (1999),"Acid Mothers Temple, the Melting Paraiso U.F.O.",Wild Gals A Go-Go,,7,Rock,
Y:\Adam Ant\Adam Ant - Antmusic...The Very Best Of (2000),Adam Ant,Antmusic...The Very Best Of,,22,Rock,
Y:\Add N to (X)\Add N to (X) - Add Insult To Injury (2000),Add N to (X),Add Insult To Injury,Blues,12,,
Y:\Adelaide Van Wey\Adelaide Van Wey - Street Cries and Creole Songs of New Orleans (1956),Adelaide Van Wey,Street Cries and Creole Songs of New Orleans,Folk,19,,
Y:\African Head Charge\African Head Charge - My Life In A Hole In The Ground (1991),African Head Charge,My Life In A Hole In The Ground,,9,Rock,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\Various Artists Afrika Bambaataa - Looking For The Perfect Beat 1980-1985(2001),Afrika Bambaata & The Soul Sonic Force,Looking For The Perfect Beat 1980-1985,,12,Hip Hop,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\Afrika Bambaataa - Beware (1986),Afrika Bambaataa,Beware,,9,Hip Hop,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\Afrika Bambaataa - Jazzin_(1996),Afrika Bambaataa,Jazzin',,14,Hip Hop,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\Afrika Bambaataa Soul Sonic Force - Planet Rock(1986),"Afrika Bambaataa, Soul Sonic Force",Planet Rock,,7,Hip Hop,
Y:\#recycle\Releases\release_223278,AFX,2 es by AFX,,3,Electronic,
Y:\AFX\Analogue Bubblebath 4 (1994-08),AFX,Analogue Bubblebath 4,,5,Electronic,
Y:\AFX\Analord 08 (2005-05-09),AFX,Analord 08,,4,Electronic,
Y:\#recycle\Releases\release_223276,AFX,Analord 11,,3,,Deleted
Y:\AFX\London 03.06.17 [field day] (2017-07-20),AFX,London 03.06.17 [field day],Blues,17,,
Y:\AFX\orphaned deejay selek 2006–2008 (2017-07-20),AFX,orphaned deejay selek 2006–2008,Electronic,8,,
Y:\AFX\Orphans (2017-07-20),AFX,Orphans,Blues,4,,
Y:\#recycle\Releases\release_223280,AFX,Smojphace,,3,,Deleted
Y:\Al Green\Al Green - Let's Stay Together LP (1972),Al Green,Let's Stay Together LP,,9,,
Y:\Al Green\Al Green - The Definitive Greatest Hits (2007),Al Green,The Definitive Greatest Hits,,21,,
Y:\Compilations\Various Artists - Hard to Find 45s on CD - Volume 3 The Mid Fifties (1999),Al Martino,Hard to Find 45s on CD - Volume 3: The Mid Fifties,,20,,
Y:\Compilations\Various Artists - The Rough Guide To Australian Aboriginal Music (2008),Alan Maralung,The Rough Guide To Australian Aboriginal Music,,17,,
Y:\Alan Silvestri\Alan Silvestri - Back To The Future(1985),Alan Silvestri,Back To The Future,,18,,
Y:\Alan Silvestri\Alan Silvestri - Back To The Future Part II(1989),Alan Silvestri,Back To The Future Part II,,33,,
Y:\Alan Vega\Alan Vega - Alan Vega (1987),Alan Vega,Alan Vega,Blues,8,,
Y:\Albert Ayler\Albert Ayler - Ghosts (1988),Albert Ayler,Ghosts,,6,Jazz,
"Y:\Albert Ayler\Albert Ayler - Holy Ghost Rare & Unissued Recordings (1962–70) (10CD, Box-Set) (2004)",Albert Ayler,"Holy Ghost: Rare & Unissued Recordings (1962–70) (10CD, Box-Set) [CD 9]",,123,Jazz,
Y:\Albert Ayler\Albert Ayler - Love Cry (1991),Albert Ayler,Love Cry,Jazz,11,,
Y:\Albert Ayler\Albert Ayler - Music Is The Healing Force Of The Universe (2003),Albert Ayler,Music Is The Healing Force Of The Universe,,6,Jazz,
Y:\Albert Ayler\Albert Ayler - Spiritual Unity (1964),Albert Ayler,Spiritual Unity,,4,Jazz,
Y:\Albert Ayler\Albert Ayler - The Impulse Story (2006),Albert Ayler,The Impulse Story,,10,Jazz,
Y:\Albert Hammond Jr\Albert Hammond Jr. - Momentary Masters (2015),Albert Hammond Jr.,Momentary Masters,Blues,10,,
Y:\Albert Hammond Jr\Albert Hammond Jr. - Yours To Keep (2006),Albert Hammond Jr.,Yours To Keep,,12,Rock,
Y:\Albert Hammond Jr\Albert Hammond Jr. - їCуmo Te Llama (2008),Albert Hammond Jr.,їCуmo Te Llama?,,13,Rock,
Y:\Ivory Joe Hunter\Ivory Joe Hunter - Alberta Hunter (2010),Alberta Hunter,ABC of the Blues [52-CD Box Set]  [CD 17],,20,Blues,
Y:\Alex G\Alex G - Beach Music (2015),Alex G,Beach Music,,13,,
Y:\Ali Farka Toure\Ali Farka Toure - Niafunke (1999),Ali Farka Toure,Niafunke,,11,,
Y:\Ali Hassan Kuban\Ali Hassan Kuban - The Rough Guide to Ali Hassan Kubann (2002),Ali Hassan Kuban,The Rough Guide to Ali Hassan Kubann,,15,,
"Y:\Alice Coltrane\Alice Coltrane - A Monastic Trio (2004, Remaster - Japan) (1968)",Alice Coltrane,"A Monastic Trio (2004, Remaster - Japan)",Blues,6,,
Y:\Alice Coltrane\Alice Coltrane - Divine Songs (1987),Alice Coltrane,Divine Songs,,9,,
Y:\Alice Coltrane\Alice Coltrane - Journey In Satchidananda (1997),Alice Coltrane,Journey In Satchidananda,,5,Jazz,
Y:\Alice Coltrane\Alice Coltrane - Translinear Light (2004),Alice Coltrane,Translinear Light (cat #: Verve Records - B0002191-02),,11,,
"Y:\Alice Coltrane\Alice Coltrane - Turiya Sings (2015, Remaster) (1982)",Alice Coltrane,"Turiya Sings (2015, Remaster)",Blues,9,,
Y:\Alice Coltrane\Alice Coltrane - Universal Consciousness (1971),Alice Coltrane,Universal Consciousness,Blues,6,,
Y:\Buddy Rich\Buddy Rich - Alla Rakha (1968),"Alla Rakha, Buddy Rich","Rich A La Rakha (2001, Remaster)",Blues,5,,
Y:\Allen Ginsberg\Allen Ginsberg - First Blues (1975),Allen Ginsberg,First Blues,Blues,24,,
Y:\Allen Ginsberg\Allen Ginsberg - Howl And Other Poems (1959),Allen Ginsberg,Howl and Other Poems,Poetry,10,,
Y:\Allen Ginsberg\Allen Ginsberg - The Lion For Real (1997),Allen Ginsberg,The Lion For Real,Books & Spoken,17,,
Y:\Allen Toussaint\Allen Toussaint - American Tunes (2016),Allen Toussaint,American Tunes,Jazz/Blues,14,,
Y:\Allen Toussaint\Allen Toussaint - the Wild Sound of new Orleans (1957),Allen Toussaint,the Wild Sound of new Orleans,,12,,
Y:\Alva Noto\Alva Noto - For 2 (2010),Alva Noto,For 2,,12,,
Y:\Alva Noto\Alva Noto - Univrs (2011),Alva Noto,Univrs,,14,,
Y:\Alva Noto\Alva Noto - Xerrox Vol. 2 (2008),Alva Noto,Xerrox Vol. 2,,11,,
Y:\Alva Noto\Alva Noto - Xerrox Vol. 3 (2015),Alva Noto,Xerrox Vol. 3,Ambient,11,,
Y:\Alvvays\Alvvays - Alvvays (2014),Alvvays,Alvvays,Alternative,10,,
Y:\Compilations\Various Artists - Late NightTales presents Music For Pleasure (2012),Ambrosia,LateNightTales presents Music For Pleasure,Electronic,18,,
Y:\Amon Duul II\Amon Duul II - Tanz Der Lemminge (1971),Amon Düül II,"Tanz der lemminge [1997, Repertoire Rec., REP 4749]","Krautrock, Progressive rock",17,,
Y:\Amon Tobin\Amon Tobin - Bricolage(1997),Amon Tobin,Bricolage,,14,,
Y:\Amon Tobin\Amon Tobin - Permutation(1998),Amon Tobin,Permutation,,12,,
Y:\Amon Tobin\Amon Tobin - Supermodified(2000),Amon Tobin,Supermodified,,12,,
Y:\Amorphous Androgynous\Amorphous Androgynous - Various Artists (2009),Amorphous Androgynous,A Monstrous Psychedelic Bubble Vol. 2 - Pagan Love Vibrations [CD 2],,44,,
Y:\Compilations\Various Artists - A Monstrous Psychedelic Bubble (Exploding In Your Mind) The Wizards Of Oz (2015),Amorphous Androgynous,The Wizards of Oz,Psychedelic Rock,33,,
Y:\Amy Winehouse\Amy Winehouse - Back To Black(2006),Amy Winehouse,Back To Black,,10,,
Y:\Amy Winehouse\Amy Winehouse - Frank (2003),Amy Winehouse,Frank,,13,,
Y:\And So I Watch You From Afar\And So I Watch You From Afar - And So I Watch You From Afar (Deluxe Edition) (2009),And So I Watch You From Afar,And So I Watch You From Afar,Alternative,19,,
Y:\Andre Bratten\Andre Bratten - Be A Man You Ant (2013),Andre Bratten,Be A Man You Ant,,7,,
Y:\Andrew Hill\Andrew Hill - Black Fire (1963),Andrew Hill,Black Fire,Blues,9,,
Y:\Andrew Hill\Andrew Hill - Compulsion (1965),Andrew Hill,Compulsion,,4,,
Y:\Andrew Hill\Andrew Hill - Judgment! (1964),Andrew Hill,Judgment!,Blues,6,Jazz,
Y:\Andrew Hill\Andrew Hill - Point of Departure (1964),Andrew Hill,Point of Departure,,7,,
Y:\Andy Stott\Andy Stott - Faith In Strangers(2014),Andy Stott,Faith In Strangers,Techno,9,,
Y:\Angel Olsen\Angel Olsen - Burn Your Fire For No Witness (2014),Angel Olsen,Burn Your Fire For No Witness,,11,,
Y:\Angel Olsen\Angel Olsen - My Woman (2016),Angel Olsen,My Woman,Folk,10,,
Y:\Angelo Badalamenti\Angelo Badalamenti - Twin Peaks(1990),Angelo Badalamenti,Twin Peaks,,11,,
Y:\Angine de Poitrine\2024 - ANGINE DE POITRINE - VOL.1,Angine de Poitrine,ANGINE DE POITRINE - VOL.1,,6,,
Y:\Angine de Poitrine\Vol. II (2026-06-12),Angine de Poitrine,Vol. II,Rock,6,,
Y:\Animal Collective\Animal Collective - Campfire Songs(2003),Animal Collective,Campfire Songs,,5,,
Y:\Animal Collective\Animal Collective - Feels(2005),Animal Collective,Feels,,9,,
Y:\Animal Collective\Animal Collective - Here Comes the Indian(2003),Animal Collective,Here Comes the Indian,,7,,
Y:\Animal Collective\Animal Collective - Merriweather Post Pavilion(2009),Animal Collective,Merriweather Post Pavilion,,11,,
Y:\Animal Collective\Animal Collective - Spirit They_re Gone Spirit They_ve Vanished(2000),Animal Collective,Spirit They're Gone Spirit They've Vanished,,10,,
Y:\Animal Collective\Animal Collective - Strawberry Jam(2007),Animal Collective,Strawberry Jam,,9,,
Y:\Animal Collective\Animal Collective - Sung Tongs(2004),Animal Collective,Sung Tongs,,12,,
Y:\Animals\Animals - Absolute Animals 1964-1968 (Remastered_ 2003)(1964),Animals,"Absolute Animals 1964-1968 (Remastered, 2003)",,20,,
Y:\Animals\Animals - Animal Tracks(1965),Animals,Animal Tracks,,11,,
Y:\Animals\Animals - Inside Looking Out (The 1965 - 1966 Sessions) (1990),Animals,Inside Looking Out  - The 1965,Rock,22,,
Y:\Animals\Animals - The EP Collection (1989),Animals,The EP Collection,,20,,
Y:\Animals\Animals - The Singles Plus(1987),Animals,The Singles Plus,,20,,
Y:\Anthony Braxton\Anthony Braxton - For Alto (1968),Anthony Braxton,For Alto,,8,,
Y:\Anton Batagov\Anton Batagov - Bach (2017),Anton Batagov,Bach [CD 1],Blues,15,,
Y:\Aphex Twin\Aphex Twin - ...I Care Because You Do (1995),Aphex Twin,...I Care Because You Do,,12,,
Y:\Aphex Twin\Blackbox Life Recorder 21f _ in a room7 F760 (2023-07-28),Aphex Twin,Blackbox Life Recorder 21f / in a room7 F760,IDM,4,,
Y:\Aphex Twin\Cheetah EP (2016-07-07),Aphex Twin,Cheetah EP,Blues,6,,
Y:\Aphex Twin\CIRKLON3 [ Kolkhoznaya mix ] (2016-07-08),Aphex Twin,CIRKLON3 [ Kolkhoznaya mix ],Blues,1,,
"Y:\Aphex Twin\Aphex Twin - Classics (Remastered, 2008) (1995)",Aphex Twin,"Classics (Remastered, 2008)",,13,,
Y:\Aphex Twin\Collapse EP (2018-09-14),Aphex Twin,Collapse EP,Blues,6,,
Y:\Aphex Twin\Aphex Twin - Come To Daddy (1997),Aphex Twin,Come To Daddy,Blues,8,,
"Y:\Aphex Twin\Computer Controlled Acoustic Instruments, Part 2 (2015-01-23)",Aphex Twin,"Computer Controlled Acoustic Instruments, Part 2",Blues,13,,
Y:\Aphex Twin\Aphex Twin - Digeridoo (Expanded Edition) (2024),Aphex Twin,Digeridoo (Expanded Edition),IDM,10,,
Y:\Aphex Twin\Aphex Twin - Drukqs [2 CD](2001),Aphex Twin,Drukqs [2 CD],,30,,
Y:\Aphex Twin\Aphex Twin - Hangable Auto Bulb (1995),Aphex Twin,Hangable Auto Bulb,,6,,
Y:\Aphex Twin\Aphex Twin - London 03.06.17 (2017),Aphex Twin,London 03.06.17,Blues,11,,
Y:\Aphex Twin\MARCHROMT30a Edit 2b 96 (2015-04-06),Aphex Twin,MARCHROMT30a Edit 2b 96,"Electronic, Acid, Breakbeat, IDM, Downtempo",3,,
Y:\#recycle\Releases\release_1487125,Aphex Twin,Music From the Merch Desk (2016 – 2023),IDM,38,,
Y:\Aphex Twin\Peel Session 2 (2019-11-15),Aphex Twin,Peel Session 2,,4,,
Y:\Aphex Twin\Aphex Twin - Richard D. James Album (1996),Aphex Twin,Richard D. James Album,,15,,
Y:\Aphex Twin\Aphex Twin - Selected Ambient Works 85-92 (Remastered 2008) (1992),Aphex Twin,Selected Ambient Works 85-92 (Remastered 2008),,13,,
Y:\Aphex Twin\Aphex Twin - Selected Ambient Works 85-92 (Remastered 2008)(1992),Aphex Twin,Selected Ambient Works 85-92 (Remastered 2008),,13,,
Y:\Aphex Twin\Aphex Twin - Selected Ambient Works Volume II (1994),Aphex Twin,Selected Ambient Works Volume II [CD 2],Blues,23,,
Y:\Aphex Twin\Aphex Twin - Syro (2014),Aphex Twin,Syro,,13,,
Y:\_Untagged\Windowlicker (1999),Aphex Twin,Windowlicker,Blues,1,,
Y:\Aphex Twin\Windowlicker (1999),Aphex Twin,Windowlicker,Blues,2,,
Y:\Compilations\Various Artists - A Monstrous Psychedelic Bubble Exploding In Your Mind (2010),Aphrodite's Child,A Monstrous Psychedelic Bubble Exploding In Your Mind,,44,,
Y:\Compilations\Various Artists - Fabric 70 Apollonia (2013),Apollonia,Fabric 70: Apollonia (Cat #: Fabric - FABRIC139),,17,,
Y:\Apparat\Apparat - Various Artists (2010),Apparat,DJ-Kicks,,24,,
Y:\Arca\Arca - Arca (2017),Arca,Arca,,13,,
Y:\Arcade Fire\Arcade Fire - Everything Now (2017),Arcade Fire,Everything Now,Indie Rock / Art Rock / Baroque Pop,13,,
Y:\Arcade Fire\Arcade Fire - Funeral (2004),Arcade Fire,Funeral,,10,,
Y:\Arcade Fire\Arcade Fire - Neon Bible (2007),Arcade Fire,Neon Bible,,11,,
Y:\Arcade Fire\Arcade Fire - Reflektor (2013),Arcade Fire,Reflektor [CD 1],,14,,
Y:\Arctic Monkeys\Arctic Monkeys - AM(2013),Arctic Monkeys,AM,,12,,
Y:\Arctic Monkeys\Arctic Monkeys - BBC Radio 1 - Maida Vale(2009),Arctic Monkeys,BBC Radio 1 - Maida Vale,,10,,
Y:\Arctic Monkeys\Arctic Monkeys - Covers Mixtape(2008),Arctic Monkeys,Covers Mixtape,,7,,
Y:\Arctic Monkeys\Arctic Monkeys - Favourite Worst Nightmare (2007),Arctic Monkeys,Favourite Worst Nightmare,,14,,
Y:\Arctic Monkeys\Arctic Monkeys - Humbug(2009),Arctic Monkeys,Humbug,,12,,
Y:\Arctic Monkeys\Arctic Monkeys - Suck It And See(2011),Arctic Monkeys,Suck It And See,,12,,
Y:\Arctic Monkeys\Arctic Monkeys - Tranquility Base Hotel & Casino(2018),Arctic Monkeys,Tranquility Base Hotel & Casino,Blues,11,,
Y:\Arctic Monkeys\Arctic Monkeys - Unplugged Acoustic Session(2009),Arctic Monkeys,Unplugged Acoustic Session,,15,,
Y:\Arctic Monkeys\Arctic Monkeys - Whatever People Say I Am_ That_s What I_m Not(2006),Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",,13,,
Y:\Compilations\Various Artists - Delta Swamp Rock Vol. 2 (2012),Area Code 615,Delta Swamp Rock Vol. 2,Blues,20,,
Y:\Ariel Pink\Ariel Pink - Pom Pom (2014),Ariel Pink,pom pom,Indie Pop,17,,
Y:\Ariel Pink's Haunted Graffiti\Ariel Pink's Haunted Graffiti - Before Today (2010),Ariel Pink's Haunted Graffiti,Before Today,,12,,
Y:\Ariel Pink's Haunted Graffiti\Ariel Pink's Haunted Graffiti - Mature Themes (2012),Ariel Pink's Haunted Graffiti,Mature Themes,,13,,
Y:\Art Blakey - Jazz In Paris [Box Set](1959),Art Blakey,Jazz In Paris [Box Set] [CD 69]: Paris Olympia,,11,Jazz,
Y:\Art Blakey & The Jazz Messengers\Art Blakey & The Jazz Messengers - Moanin' (1999),Art Blakey & The Jazz Messengers,Moanin',,8,,
Y:\Arthur Alexander\Arthur Alexander - Greatest Hits (1989),Arthur Alexander,Greatest Hits,,21,,
Y:\Buddy Guy\Buddy Guy - Slim Gaillard (2010),Arthur Gunter,ABC of the Blues [52-CD Box Set] [CD 12],,20,Blues,
Y:\Arthur Russell\Arthur Russell - Another Thought(1994),Arthur Russell,Another Thought,Experimental,15,,
Y:\Arthur Russell\Arthur Russell - Calling Out Of Context(2004),Arthur Russell,Calling Out Of Context,Experimental,12,,
Y:\Arthur Russell\Arthur Russell - Corn(2015),Arthur Russell,Corn,,9,,
Y:\Arthur Russell\Arthur Russell - First Thought Best Thought Vol 1 & 2(2006),Arthur Russell,First Thought Best Thought,Experimental,16,,
Y:\Arthur Russell\Arthur Russell - Love Is Overtaking Me(2008),Arthur Russell,Love Is Overtaking Me,Experimental,21,,
Y:\Arthur Russell\Arthur Russell - Tower Of Meaning(1983),Arthur Russell,Tower Of Meaning,Experimental,7,,
Y:\Arthur Russell\Arthur Russell - World Of Echo (2004_ Remastered US)(1986),Arthur Russell,World Of Echo,Experimental,18,,
Y:\Arvo Part\Arvo Part - Alina (1999),Arvo Part,Alina,,5,,
Y:\Arvo Part\Arvo Part - Da Pacem (2006),Arvo Part,Da Pacem,,8,,
Y:\Arvo Part\Arvo Part - Lamentate (2005),Arvo Part,Lamentate,,10,,
Y:\Arvo Part\Arvo Part - Miserere (1991),Arvo Part,Miserere,,3,,
Y:\Arvo Part\Arvo Part - Orient Occident (2002),Arvo Part,Orient Occident,,7,,
Y:\Arvo Part\Arvo Part - Symphony No.1 Collage On The Theme B-A-C-H. Pro Et Contra. Tabula Rasa (2002),Arvo Part,Symphony No.1 Collage On The Theme B-A-C-H. Pro Et Contra. Tabula Rasa,,8,,
Y:\Arvo Part\Arvo Part - Tabula Rasa (1984),Arvo Part,Tabula Rasa,,4,,
Y:\Arvo Part\Arvo Part - Te Deum (1993),Arvo Part,Te Deum,,11,,
Y:\Arvo Part\Arvo Part - Te Deum (2012),Arvo Part,Te Deum,Blues,10,,
Y:\Arvo Part\Arvo Part - The Best Of Arvo Part (2004),Arvo Part,The Best Of Arvo Part,,14,,
Y:\Arvo Part\Arvo Part - The Symphonies (2018),Arvo Part,The Symphonies,Blues,11,,
Y:\Arvo Part\Arvo Part - Trivium (1992),Arvo Part,Trivium,,8,,
Y:\#recycle\Releases\release_1467764,Arvo Pärt,Silentium,Classique,4,,
Y:\_Untagged\1977 (1996),Ash,1977,,1,,
Y:\Ash\1977 (1996),Ash,1977,,9,,
Y:\Compilations\Various Artists - House Masters ATFC and David Penn (Unmixed DJ) (2CD) (2009),"ATFC, Lisa Millett",House Masters: ATFC and David Penn (Unmixed DJ) (2CD),,20,,
Y:\Atoms For Peace\Atoms For Peace - Amok (2013),Atoms For Peace,Amok,,9,,
"Y:\Au Revoir Simone\Au Revoir Simone - Still Night,Still Light (2009)",Au Revoir Simone,"Still Night,Still Light",Blues,12,,
Y:\Au Revoir Simone\Au Revoir Simone - The Bird Of Music (2007),Au Revoir Simone,The Bird Of Music,Blues,11,,
Y:\Compilations\Various Artists - Fabriclive.54 David Rodigan (2010),Augustus Pablo,Fabriclive.54 David Rodigan,,21,,
Y:\Augustus Pablo\Augustus Pablo - King Tubbys Meets Rockers Uptown (1994),Augustus Pablo,King Tubbys Meets Rockers Uptown,Blues,12,,
Y:\Ava Cherry\Ava Cherry - The Astronettes Sessions (2009),Ava Cherry,The Astronettes Sessions,,12,,
Y:\B.B. King\B.B. King - ABC of the Blues [52-CD Box Set](2010),B.B. King,ABC of the Blues [52-CD Box Set]  [CD 21],,20,Blues,
"Y:\B.B. King\B.B. King - Live At The Regal (1997, Remaster) (1964)",B.B. King,"Live At The Regal (1997, Remaster)",,10,,
Y:\Metro Area\Metro Area - Various Artists (2008),Babla's Disco Sensation,Fabric 43,,23,,
Y:\Backstreet Boys\Backstreet Boys - A Very Backstreet Christmas (Deluxe Edition)(2025),Backstreet Boys,A Very Backstreet Christmas (Deluxe Edition),Pop,15,,
Y:\Backstreet Boys\Backstreet Boys - Greatest Hits - Chapter One(2003),Backstreet Boys,Greatest Hits - Chapter One,,16,,
Y:\Backstreet Boys\Backstreet Boys - Playlist_ The Very Best Of Backstreet Boys (US)(2010),Backstreet Boys,Playlist: The Very Best Of Backstreet Boys (US),Blues,14,,
Y:\Bad Manners\Bad Manners - Gosh It's (2011),Bad Manners,Gosh It's,Ska,18,,
"Y:\Bad Manners\Bad Manners - Ska 'N' B (2011, Remaster) (1980)",Bad Manners,"Ska 'N' B (2011, Remaster)",,17,,
Y:\BadBadNotGood\BadBadNotGood - IV (2016),BADBADNOTGOOD,IV,Jazz,11,,
Y:\Ballake Sissoko\Ballake Sissoko - At Peace (2012),Ballake Sissoko,At Peace,,9,,
Y:\Ballake Sissoko Vincent Segal\Ballake Sissoko Vincent Segal - Chamber Music (2010),Ballake Sissoko Vincent Segal,Chamber Music,,10,,
Y:\_Untagged\Christmas Hits [3 CD] (2005),Band Aid,Christmas Hits [3 CD],,11,,
Y:\Bangles\Bangles - The Essential Bangles(2004),Bangles,The Essential Bangles,Pop,15,,
Y:\Barbara Morgenstern\Barbara Morgenstern - Doppelstern (2015),Barbara Morgenstern,Doppelstern,Blues,11,,
Y:\Barbara Morgenstern\Barbara Morgenstern - Fan No. 2 (2010),Barbara Morgenstern,Fan No. 2,,23,,
Y:\Barbara Morgenstern\Barbara Morgenstern - Sweet Silence (2012),Barbara Morgenstern,Sweet Silence,,13,,
Y:\Compilations\Various Artists - House Masters - Louie Vega (2CD) (2008),Barbara Tucker,House Masters - Louie Vega (2CD),,20,,
Y:\Barry Adamson\Barry Adamson - Back To The Cat(2008),Barry Adamson,Back To The Cat,,10,,
Y:\Barry Adamson\Barry Adamson - Oedipus Schmoedipus(1996),Barry Adamson,Oedipus Schmoedipus,,13,,
Y:\Barry Adamson\Barry Adamson - The King Of Nothing Hill(2002),Barry Adamson,The King Of Nothing Hill,,10,,
Y:\Barry Adamson\Barry Adamson - The Murky World Of Barry Adamson(1999),Barry Adamson,The Murky World Of Barry Adamson,,12,,
Y:\Basement Jaxx\Kish Kash (2003),Basement Jaxx,Kish Kash,,14,,
Y:\Basement Jaxx\Remedy (1999),Basement Jaxx,Remedy,,15,,
Y:\Basement Jaxx\Basement Jaxx - Rooty(2001),Basement Jaxx,Rooty,,13,,
Y:\Cassy\Cassy - Various Artists (2013),Basic soul unit,Fabric 71,,17,,
Y:\Bat For Lashes\Bat For Lashes - Fur And Gold (2007),Bat For Lashes,Fur And Gold,,11,,
Y:\Bat For Lashes\Bat For Lashes - The Bride (2016),Bat For Lashes,The Bride,Alternative/Indie,13,,
Y:\Bat For Lashes\Bat For Lashes - The Haunted Man (2012),Bat For Lashes,The Haunted Man,,11,,
Y:\Bat For Lashes\Bat For Lashes - Two Suns (2009),Bat For Lashes,Two Suns,,11,,
Y:\Gary Numan\Gary Numan - Yamantaka Eye (2011),Battles,Gloss Drop,Indie Rock,12,,
Y:\Battles\Battles - La Di Da Di (2015),Battles,La Di Da Di,"Math Rock, Electronic, Experimental",12,,
"Y:\Bauhaus\Bauhaus - In The Flat Field (Omnibus Edition) (Remastered, 2009) (1980)",Bauhaus,"In The Flat Field (Omnibus Edition) (Remastered, 2009)",,25,,
"Y:\Bauhaus\Bauhaus - Mask (Remastered, 2008) (1981)",Bauhaus,"Mask (Remastered, 2008)",,10,,
Y:\Baxter Dury\Baxter Dury - Floor Show(2005),Baxter Dury,Floor Show,Indie Rock,9,,
Y:\Baxter Dury\Baxter Dury - Happy Soup(2011),Baxter Dury,Happy Soup,Indie,10,,
Y:\Baxter Dury\Baxter Dury - It_s A Pleasure(2014),Baxter Dury,It's A Pleasure,Indie,10,,
Y:\Baxter Dury\Baxter Dury - Len Parrot_s Memorial Lift(2002),Baxter Dury,Len Parrot’s Memorial Lift,Indie Rock,9,,
