folder,album_artist,album,current_genre,tracks,new_genre,
Y:\Noah Howard\Noah Howard - The Black Ark (1969),Noah Howard,The Black Ark,,4,,
"Y:\Noah Howard Quartet\Noah Howard Quartet - Live At The Swing Club (2014, Reissue) (1974)",Noah Howard Quartet,"Live At The Swing Club (2014, Reissue)",Blues,3,,
Y:\Noel Gallagher's High Flying Birds\Noel Gallagher's High Flying Birds - Everybody's On The Run (2012),Noel Gallagher's High Flying Birds,"Everybody's On The Run (CDS) [Sour Mash, JDNCSCD15]",BritPop/Indie Rock,2,,
Y:\Notwist\Notwist - Neon Golden (2002),Notwist,Neon Golden,,13,,
Y:\Nurse With Wound\Nurse With Wound - Homotopy To Marie (2007),Nurse With Wound,Homotopy To Marie,Blues,5,,
Y:\OMD\OMD - Architecture & Morality(1981),O.M.D.,Architecture & Morality,,9,,
Y:\OMD\OMD - Orchestral Manoeuvres In The Dark(1980),O.M.D.,Orchestral Manoeuvres In The Dark,,13,,
Y:\Oasis\Albums\Oasis - 1995 - (What's The Story) Morning Glory,Oasis,(What's the Story) Morning Glory?,Rock,12,Rock,
Y:\#recycle\Oasis\Oasis - (What's The Story) Morning Glory - Deluxe Edition (1995),Oasis,(What's The Story) Morning Glory? - Deluxe Edition [CD 2],,40,Rock,
Y:\#recycle\Oasis\Oasis - (What_s The Story) Morning Glory_ - Deluxe Edition(1995),Oasis,(What's The Story) Morning Glory? - Deluxe Edition [CD 2],,40,Rock,
Y:\Oasis\Singles\Oasis - 1998.01.12 - All Around The World,Oasis,All Around The World,Rock,4,Rock,
Y:\#recycle\Oasis\Oasis - Be Here Now (1997),Oasis,Be Here Now,,12,Rock,
Y:\#recycle\Oasis\Oasis - Be Here Now(1997),Oasis,Be Here Now,,12,Rock,
Y:\#recycle\Oasis\Oasis - Be Here Now(1997) (1),Oasis,Be Here Now,,12,Rock,
Y:\Oasis\Albums\Oasis - 1997 - Be Here Now,Oasis,Be Here Now,Rock,12,Rock,
Y:\Oasis\Singles\Oasis - 1996.05.13 - Champagne Supernova,Oasis,Champagne Supernova,Rock,3,Rock,
Y:\Oasis\Singles\Oasis - 1994.10.10 - Cigarettes and Alcohol,Oasis,Cigarettes & Alcohol,Rock,4,Rock,
Y:\#recycle\Oasis\Oasis - Definitely Maybe (1994),Oasis,Definitely Maybe,,13,Rock,
Y:\#recycle\Oasis\Oasis - Definitely Maybe(1994),Oasis,Definitely Maybe,,13,Rock,
Y:\Oasis\Albums\Oasis - 1994 - Definitely Maybe (2 CD Australia Edition)\CD1,Oasis,Definitely Maybe,Rock,11,Rock,
Y:\#recycle\Oasis\Oasis - Definitely Maybe (20th Anniversary Special Edition) (2014),Oasis,Definitely Maybe (20th Anniversary Special Edition) [CD 3],,46,Rock,
Y:\Oasis\Albums\Oasis - 1994 - Definitely Maybe (2 CD Australia Edition)\CD2 - Bonus Disc,Oasis,Definitely Maybe (Bonus Disc),Rock,3,Rock,
